lap_number,lap_nature,lap_duration,avg_speed_kmh,max_speed_kmh,avg_heart_rate,max_heart_rate,total_distance,total_elapsed_time,avg_altitude,avg_cadence,avg_temperature,enhanced_avg_altitude,enhanced_max_altitude,enhanced_min_altitude,lap_duration_min_sec,max_altitude,max_cadence,min_altitude,min_heart_rate,total_elapsed_time_min_sec
1,Warm-up,380.9,9.45,10.73,161,165,1000.0,380.97,630.8,78,22,630.8,672.2,590.0,06:20,672.2,80,590.0,128,06:20
2,Warm-up,349.2,10.31,11.84,161,167,1000.0,349.167,721.0,80,21,721.0,745.5999999999999,686.8,05:49,745.5999999999999,82,686.8,155,05:49
3,Warm-up,396.7,9.08,11.88,163,171,1000.0,396.667,780.0,75,21,780.0,830.5999999999999,745.5999999999999,06:36,830.5999999999999,82,745.5999999999999,153,06:36
4,Warm-up,480.7,7.49,13.07,164,169,1000.0,480.666,894.0,63,22,894.0,939.8,830.5999999999999,08:00,939.8,84,830.5999999999999,157,08:00
5,Warm-up,277.7,12.96,16.27,156,161,1000.0,277.667,917.4000000000001,83,22,917.4000000000001,943.5999999999999,890.4000000000001,04:37,943.5999999999999,105,890.4000000000001,149,04:37
6,Warm-up,452.7,7.95,17.42,161,166,1000.0,452.668,947.8,66,23,947.8,979.2,899.2,07:32,979.2,83,899.2,156,07:32
7,Warm-up,495.3,7.27,11.59,164,169,1000.0,495.332,1033.4,65,23,1033.4,1093.0,972.2,08:15,1093.0,82,972.2,159,08:15
8,Warm-up,275.0,13.09,16.24,153,162,1000.0,275.0,1078.6,83,22,1078.6,1095.2,1062.6,04:35,1095.2,95,1062.6,144,04:35
9,Warm-up,254.7,14.13,17.46,151,155,1000.0,254.733,1043.6,85,21,1043.6,1067.0,998.0,04:14,1067.0,102,998.0,145,04:14
10,Warm-up,275.6,13.06,17.64,153,162,1000.0,275.6,934.2,87,20,934.2,998.0,889.0,04:35,998.0,129,889.0,147,04:35
11,Warm-up,281.4,12.79,16.52,155,161,1000.0,281.4,896.8,82,21,896.8,907.0,879.0,04:41,907.0,91,879.0,149,04:41
12,Warm-up,325.4,11.07,15.7,153,171,1000.0,325.35,872.2,84,22,872.2,899.8,831.8,05:25,899.8,107,831.8,143,05:25
13,Warm-up,268.2,13.42,15.3,146,152,1000.0,268.25,793.4000000000001,84,21,793.4000000000001,832.4000000000001,749.5999999999999,04:28,832.4000000000001,101,749.5999999999999,142,04:28
14,Warm-up,372.8,9.66,15.16,149,158,1000.0,372.751,679.5999999999999,76,21,679.5999999999999,751.0,631.2,06:12,751.0,105,631.2,140,06:12
15,Warm-up,696.2,5.17,12.2,157,163,1000.0,696.249,748.0,55,23,748.0,819.8,661.0,11:36,819.8,82,661.0,151,11:36
16,Warm-up,366.8,9.82,13.72,146,153,1000.0,366.75,835.2,73,23,835.2,854.2,805.0,06:06,854.2,83,805.0,133,06:06
17,Warm-up,360.9,9.98,15.52,150,158,1000.0,360.917,792.0,75,22,792.0,815.8,767.0,06:00,815.8,85,767.0,137,06:00
18,Warm-up,630.3,5.71,13.5,152,158,1000.0,630.333,862.8,55,23,862.8,939.5999999999999,799.2,10:30,939.5999999999999,83,799.2,142,10:30
19,Warm-up,439.0,8.2,16.38,153,159,1000.0,439.0,925.5999999999999,66,23,925.5999999999999,956.0,899.4000000000001,07:19,956.0,91,899.4000000000001,146,07:19
20,Warm-up,736.7,4.89,11.41,151,159,1000.0,736.667,1035.6,53,23,1035.6,1114.6,945.5999999999999,12:16,1114.6,82,945.5999999999999,144,12:16
21,Warm-up,364.3,9.88,15.34,150,164,1000.0,364.333,1132.8,77,22,1132.8,1154.0,1114.6,06:04,1154.0,115,1114.6,141,06:04
22,Warm-up,325.5,11.06,13.07,152,157,1000.0,325.5,1143.6,81,20,1143.6,1152.0,1122.2,05:25,1152.0,85,1122.2,146,05:25
23,Warm-up,323.2,11.14,13.28,150,155,1000.0,323.167,1155.6,82,21,1155.6,1167.4,1144.6,05:23,1167.4,85,1144.6,146,05:23
24,Warm-up,392.3,9.18,12.28,152,159,1000.0,392.333,1198.6,75,21,1198.6,1220.4,1167.4,06:32,1220.4,84,1167.4,145,06:32
25,Warm-up,316.3,11.38,12.78,150,154,1000.0,316.333,1235.6,82,21,1235.6,1246.6,1220.4,05:16,1246.6,85,1220.4,145,05:16
26,Warm-up,323.7,11.12,13.43,146,151,1000.0,323.667,1247.2,82,21,1247.2,1263.0,1240.6,05:23,1263.0,84,1240.6,144,05:23
27,Warm-up,639.0,5.63,11.92,149,158,1000.0,639.001,1321.2,56,22,1321.2,1402.0,1263.0,10:39,1402.0,85,1263.0,138,10:39
28,Warm-up,335.0,10.75,16.31,146,159,1000.0,334.999,1382.0,75,20,1382.0,1415.8,1345.6,05:35,1415.8,99,1345.6,138,05:34
29,Warm-up,297.3,12.11,16.16,147,151,1000.0,297.333,1341.2,80,18,1341.2,1353.2,1316.6,04:57,1353.2,88,1316.6,138,04:57
